date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
23:51:07	6682/6682	---MCZ	200	added ('OK')	text/html	date:Sun,%2004%20May%202025%2015:51:05%20GMT	https://azurlane.nagami.moe/live2d-viewer	D:/website%20cloning/azurlane%20live2d%20viewer/azure/azurlane.nagami.moe/live2d-viewer.html	(from )
23:51:08	2677/2677	---MCZ	404	error ('Not%20Found')	text/html	date:Sun,%2004%20May%202025%2015:51:06%20GMT	https://azurlane.nagami.moe/robots.txt		(from )
23:51:08	264/264	---MCZ	200	added ('OK')	application/json	etag:W/%22163-1745549462766%22	https://azurlane.nagami.moe/manifest.json	D:/website%20cloning/azurlane%20live2d%20viewer/azure/azurlane.nagami.moe/manifest.json	(from https://azurlane.nagami.moe/live2d-viewer)
23:51:08	15406/15406	---M--	200	added ('OK')	text/html	etag:W/%2215406-1745549460042%22	https://azurlane.nagami.moe/favicon.ico	D:/website%20cloning/azurlane%20live2d%20viewer/azure/azurlane.nagami.moe/favicon.html	(from https://azurlane.nagami.moe/live2d-viewer)
23:51:08	75657/75657	---M--	200	added ('OK')	image/png	etag:W/%2275657-1745549460026%22	https://azurlane.nagami.moe/apple-touch-icon.png	D:/website%20cloning/azurlane%20live2d%20viewer/azure/azurlane.nagami.moe/apple-touch-icon.png	(from https://azurlane.nagami.moe/live2d-viewer)
23:51:09	3436/3436	---M--	200	added ('OK')	image/png	etag:W/%223436-1745549460042%22	https://azurlane.nagami.moe/favicon-32x32.png	D:/website%20cloning/azurlane%20live2d%20viewer/azure/azurlane.nagami.moe/favicon-32x32.png	(from https://azurlane.nagami.moe/live2d-viewer)
23:51:09	992/992	---M--	200	added ('OK')	image/png	etag:W/%22992-1745549460042%22	https://azurlane.nagami.moe/favicon-16x16.png	D:/website%20cloning/azurlane%20live2d%20viewer/azure/azurlane.nagami.moe/favicon-16x16.png	(from https://azurlane.nagami.moe/live2d-viewer)
23:51:09	298/298	---MCZ	200	added ('OK')	application/manifest+json	etag:W/%22298-1745549461102%22	https://azurlane.nagami.moe/site.webmanifest	D:/website%20cloning/azurlane%20live2d%20viewer/azure/azurlane.nagami.moe/site.webmanifest	(from https://azurlane.nagami.moe/live2d-viewer)
23:51:10	194901/194901	---M-Z	200	added ('OK')	text/css	etag:W/%222f955-d5HdHzFzoNYsw5wh0q1x/I2tDnI%22	https://cdn.jsdelivr.net/npm/bootstrap@5.2.3/dist/css/bootstrap.min.css	D:/website%20cloning/azurlane%20live2d%20viewer/azure/cdn.jsdelivr.net/npm/bootstrap@5.2.3/dist/css/bootstrap.min.css	(from https://azurlane.nagami.moe/live2d-viewer)
23:51:10	98297/98297	---M-Z	200	added ('OK')	text/css	etag:W/%2217ff9-Ca+0XqoIUGvbj+jeJ6q5ax1k7OI%22	https://cdn.jsdelivr.net/npm/bootstrap-icons/font/bootstrap-icons.css	D:/website%20cloning/azurlane%20live2d%20viewer/azure/cdn.jsdelivr.net/npm/bootstrap-icons/font/bootstrap-icons.css	(from https://azurlane.nagami.moe/live2d-viewer)
